event_id,timestamp,control_id,parameter,baseline_value,current_value,changed_by,change_source,approval_status,environment,maintenance_window,severity,is_risky,predicted_risky
drift-evt-ae6d,2026-04-08T02:47:00Z,LOG-012,cloudtrail_enabled,True,False,admin_003,manual,pending,production,False,CRITICAL,True,False
drift-evt-cf95,2026-04-08T03:15:00Z,FW-001,port_8080_opened,CLOSED,OPEN,admin_003,manual,pending,staging,False,HIGH,True,False
drift-evt-ce56,2026-04-08T03:22:00Z,ENC-044,encryption_strength,AES-256,AES-128,admin_003,manual,pending,staging,False,HIGH,True,False
drift-evt-9668,2026-04-26T03:49:00Z,END-048,inbound_rules,RESTRICTED,PORT_8080_OPENED_ANYWHERE,admin_002,manual,pending,production,False,MEDIUM,True,False
drift-evt-88af,2026-04-28T13:09:00Z,CLO-016,logging_enabled,True,True,autoscaler_bot,automation,approved,production,False,INFO,False,False
drift-evt-7cee,2026-04-23T09:17:00Z,CLO-003,inbound_rules,RESTRICTED,TEMPORARY_VENDOR_ALLOWED,autoscaler_bot,ci_cd,approved,staging,True,LOW,False,False
drift-evt-180e,2026-04-10T16:19:00Z,NET-030,mfa_enforced,True,True,ci_cd_pipeline,ci_cd,approved,production,False,LOW,False,False
drift-evt-c0b6,2026-04-18T19:58:00Z,END-036,logging_enabled,True,True,admin_002,ci_cd,approved,production,True,LOW,False,False
drift-evt-18c4,2026-05-03T23:44:00Z,IDE-061,logging_enabled,True,modified_config_param,autoscaler_bot,manual,pending,production,False,MEDIUM,True,False
drift-evt-3e33,2026-04-26T12:38:00Z,NET-025,mfa_enforced,True,expired_state,ci_cd_pipeline,manual,expired,staging,False,HIGH,True,False
drift-evt-fabc,2026-04-27T14:50:00Z,END-046,logging_enabled,True,True,admin_002,scheduled_task,approved,production,False,LOW,False,False
drift-evt-0306,2026-04-10T11:11:00Z,CLO-013,inbound_rules,RESTRICTED,expired_state,ci_cd_pipeline,manual,expired,production,False,MEDIUM,True,False
drift-evt-8662,2026-04-23T10:37:00Z,CLO-014,agent_status,running,restarting,autoscaler_bot,ci_cd,approved,production,True,LOW,False,False
drift-evt-0682,2026-04-14T09:07:00Z,IDE-055,mfa_enforced,True,weakened_state,autoscaler_bot,manual,pending,production,False,HIGH,True,False
drift-evt-a717,2026-04-19T08:52:00Z,CLO-010,mfa_enforced,True,True,admin_002,ci_cd,approved,production,True,LOW,False,False
drift-evt-88d0,2026-05-02T14:28:00Z,CLO-002,encryption_strength,AES-256,modified_config_param,ci_cd_pipeline,manual,pending,production,False,MEDIUM,True,False
drift-evt-d69c,2026-04-18T18:12:00Z,NET-022,encryption_strength,AES-256,AES-256,admin_002,automation,approved,production,False,INFO,False,False
drift-evt-c131,2026-04-17T17:29:00Z,IDE-052,encryption_strength,AES-256,False,ci_cd_pipeline,manual,pending,staging,False,CRITICAL,True,False
drift-evt-adc5,2026-04-08T02:22:00Z,END-050,mfa_enforced,True,True,admin_001,scheduled_task,approved,production,False,LOW,False,False
drift-evt-8274,2026-05-03T07:03:00Z,IDE-063,inbound_rules,RESTRICTED,TEMPORARY_VENDOR_ALLOWED,autoscaler_bot,ci_cd,approved,production,False,LOW,False,False
drift-evt-e797,2026-04-10T15:53:00Z,CLO-008,inbound_rules,RESTRICTED,TEMPORARY_VENDOR_ALLOWED,admin_001,ci_cd,approved,production,True,LOW,False,False
drift-evt-0a19,2026-04-30T21:15:00Z,NET-021,logging_enabled,True,weakened_state,ci_cd_pipeline,manual,pending,production,False,HIGH,True,False
drift-evt-fc81,2026-04-11T15:31:00Z,NET-024,agent_status,running,running,ci_cd_pipeline,automation,approved,staging,False,INFO,False,False
drift-evt-214d,2026-04-18T16:55:00Z,IDE-052,encryption_strength,AES-256,AES-128,ci_cd_pipeline,manual,pending,staging,False,HIGH,True,False
drift-evt-1e46,2026-05-03T22:15:00Z,NET-032,encryption_strength,AES-256,AES-256,ci_cd_pipeline,automation,approved,production,False,INFO,False,False
drift-evt-a892,2026-04-27T01:55:00Z,END-041,logging_enabled,True,weakened_state,admin_001,manual,pending,staging,False,HIGH,True,False
drift-evt-1da9,2026-04-22T07:11:00Z,NET-031,logging_enabled,True,True,admin_001,scheduled_task,approved,development,True,LOW,False,False
drift-evt-5a4c,2026-04-21T15:41:00Z,IDE-059,agent_status,running,modified_config_param,admin_001,manual,pending,staging,False,MEDIUM,True,False
drift-evt-8116,2026-04-11T07:15:00Z,CLO-002,encryption_strength,AES-256,AES-256,admin_002,automation,approved,production,False,INFO,False,False
drift-evt-c989,2026-05-03T14:57:00Z,CLO-013,inbound_rules,RESTRICTED,PORT_8080_OPENED_ANYWHERE,ci_cd_pipeline,manual,pending,production,False,MEDIUM,True,False
drift-evt-ee92,2026-05-01T00:34:00Z,NET-034,agent_status,running,weakened_state,autoscaler_bot,manual,pending,staging,False,HIGH,True,False
drift-evt-787c,2026-04-11T03:09:00Z,NET-032,encryption_strength,AES-256,AES-256,admin_001,automation,approved,production,False,INFO,False,False
drift-evt-b386,2026-04-27T22:37:00Z,END-039,agent_status,running,restarting,ci_cd_pipeline,scheduled_task,approved,development,True,LOW,False,False
drift-evt-e1eb,2026-04-14T02:41:00Z,NET-034,agent_status,running,running,ci_cd_pipeline,automation,approved,staging,False,INFO,False,False
drift-evt-16ae,2026-05-03T04:17:00Z,CLO-020,mfa_enforced,True,True,admin_001,automation,approved,staging,False,INFO,False,False
drift-evt-77f3,2026-04-17T14:04:00Z,END-044,agent_status,running,restarting,autoscaler_bot,scheduled_task,approved,production,False,LOW,False,False
drift-evt-c708,2026-04-10T07:30:00Z,CLO-012,encryption_strength,AES-256,AES-256,admin_002,scheduled_task,approved,production,True,LOW,False,False
drift-evt-de3e,2026-04-13T22:54:00Z,NET-034,agent_status,running,restarting,autoscaler_bot,scheduled_task,approved,staging,False,LOW,False,False
drift-evt-c6e5,2026-04-13T02:12:00Z,CLO-010,mfa_enforced,True,weakened_state,autoscaler_bot,manual,pending,production,False,HIGH,True,False
drift-evt-f0d6,2026-04-24T19:17:00Z,CLO-019,agent_status,running,weakened_state,admin_002,manual,pending,development,False,HIGH,True,False
drift-evt-5738,2026-04-22T00:43:00Z,END-047,encryption_strength,AES-256,AES-256,ci_cd_pipeline,scheduled_task,approved,staging,True,LOW,False,False
drift-evt-67d6,2026-04-12T16:17:00Z,END-046,logging_enabled,True,modified_config_param,admin_002,manual,pending,production,False,MEDIUM,True,False
drift-evt-03d5,2026-04-15T00:49:00Z,NET-031,logging_enabled,True,True,autoscaler_bot,automation,approved,development,False,INFO,False,False
drift-evt-d649,2026-04-16T01:24:00Z,IDE-053,inbound_rules,RESTRICTED,RESTRICTED,ci_cd_pipeline,automation,approved,development,False,INFO,False,False
drift-evt-2d5c,2026-04-23T02:51:00Z,IDE-053,inbound_rules,RESTRICTED,TEMPORARY_VENDOR_ALLOWED,autoscaler_bot,scheduled_task,approved,development,True,LOW,False,False
drift-evt-8293,2026-04-12T22:05:00Z,END-049,agent_status,running,expired_state,ci_cd_pipeline,manual,expired,production,False,HIGH,True,False
drift-evt-b3b8,2026-04-18T02:58:00Z,NET-026,logging_enabled,True,expired_state,admin_002,manual,expired,production,False,HIGH,True,False
drift-evt-220e,2026-04-18T08:36:00Z,NET-029,agent_status,running,restarting,ci_cd_pipeline,ci_cd,approved,production,False,LOW,False,False
drift-evt-0bc5,2026-04-11T03:50:00Z,END-036,logging_enabled,True,True,admin_001,scheduled_task,approved,production,False,LOW,False,False
drift-evt-c268,2026-04-13T06:00:00Z,NET-034,agent_status,running,running,autoscaler_bot,automation,approved,staging,False,INFO,False,False
drift-evt-be94,2026-04-20T01:58:00Z,CLO-005,mfa_enforced,True,weakened_state,ci_cd_pipeline,manual,pending,production,False,HIGH,True,False
drift-evt-1f4a,2026-04-23T17:35:00Z,END-041,logging_enabled,True,weakened_state,admin_002,manual,pending,staging,False,HIGH,True,False
drift-evt-181e,2026-05-01T06:37:00Z,CLO-015,mfa_enforced,True,weakened_state,admin_002,manual,pending,production,False,HIGH,True,False
drift-evt-871c,2026-04-16T15:38:00Z,NET-033,inbound_rules,RESTRICTED,RESTRICTED,ci_cd_pipeline,automation,approved,staging,False,INFO,False,False
drift-evt-6131,2026-04-08T01:51:00Z,NET-026,logging_enabled,True,modified_config_param,admin_001,manual,pending,production,False,MEDIUM,True,False
drift-evt-3071,2026-04-23T00:40:00Z,END-041,logging_enabled,True,True,ci_cd_pipeline,scheduled_task,approved,staging,False,LOW,False,False
drift-evt-ea0f,2026-04-22T20:17:00Z,IDE-052,encryption_strength,AES-256,modified_config_param,admin_001,manual,pending,staging,False,MEDIUM,True,False
drift-evt-08eb,2026-04-16T17:33:00Z,IDE-054,agent_status,running,weakened_state,admin_002,manual,pending,staging,False,HIGH,True,False
drift-evt-7246,2026-04-15T22:06:00Z,END-039,agent_status,running,modified_config_param,admin_002,manual,pending,development,False,MEDIUM,True,False
drift-evt-a9a8,2026-04-08T00:27:00Z,END-039,agent_status,running,weakened_state,admin_001,manual,pending,development,False,HIGH,True,False
drift-evt-96ef,2026-05-04T09:30:00Z,END-042,encryption_strength,AES-256,AES-256,admin_002,scheduled_task,approved,staging,False,LOW,False,False
drift-evt-3b3a,2026-05-01T06:21:00Z,IDE-061,logging_enabled,True,modified_config_param,autoscaler_bot,manual,pending,production,False,MEDIUM,True,False
drift-evt-9922,2026-04-20T21:59:00Z,END-043,inbound_rules,RESTRICTED,PORT_8080_OPENED_ANYWHERE,ci_cd_pipeline,manual,pending,production,False,MEDIUM,True,False
drift-evt-0d2b,2026-04-18T16:33:00Z,END-040,mfa_enforced,True,expired_state,autoscaler_bot,manual,expired,production,False,HIGH,True,False
drift-evt-79e5,2026-04-14T16:57:00Z,CLO-004,agent_status,running,expired_state,ci_cd_pipeline,manual,expired,production,False,HIGH,True,False
drift-evt-7ebc,2026-04-29T14:59:00Z,CLO-010,mfa_enforced,True,True,admin_002,scheduled_task,approved,production,True,LOW,False,False
drift-evt-3e0b,2026-04-25T11:25:00Z,IDE-064,agent_status,running,modified_config_param,admin_002,manual,pending,development,False,MEDIUM,True,False
drift-evt-8611,2026-04-08T06:04:00Z,CLO-014,agent_status,running,restarting,admin_002,ci_cd,approved,production,True,LOW,False,False
drift-evt-ddd2,2026-05-01T13:45:00Z,IDE-060,mfa_enforced,True,expired_state,ci_cd_pipeline,manual,expired,production,False,HIGH,True,False
drift-evt-55af,2026-04-13T12:34:00Z,IDE-059,agent_status,running,weakened_state,autoscaler_bot,manual,pending,staging,False,HIGH,True,False
drift-evt-3736,2026-05-02T04:09:00Z,END-041,logging_enabled,True,expired_state,admin_002,manual,expired,staging,False,HIGH,True,False
drift-evt-aa45,2026-04-30T23:22:00Z,IDE-055,mfa_enforced,True,weakened_state,admin_002,manual,pending,production,False,HIGH,True,False
drift-evt-93bd,2026-04-29T14:29:00Z,IDE-058,inbound_rules,RESTRICTED,RESTRICTED,admin_001,automation,approved,production,False,INFO,False,False
drift-evt-64c6,2026-04-20T14:54:00Z,IDE-063,inbound_rules,RESTRICTED,expired_state,autoscaler_bot,manual,expired,production,False,MEDIUM,True,False
drift-evt-d04f,2026-04-11T12:38:00Z,END-037,encryption_strength,AES-256,AES-256,autoscaler_bot,scheduled_task,approved,development,False,LOW,False,False
drift-evt-0812,2026-05-02T14:00:00Z,CLO-011,logging_enabled,True,True,autoscaler_bot,ci_cd,approved,production,True,LOW,False,False
drift-evt-23cb,2026-04-14T22:55:00Z,NET-028,inbound_rules,RESTRICTED,TEMPORARY_VENDOR_ALLOWED,ci_cd_pipeline,scheduled_task,approved,staging,False,LOW,False,False
drift-evt-056a,2026-04-29T04:55:00Z,IDE-054,agent_status,running,restarting,ci_cd_pipeline,ci_cd,approved,staging,False,LOW,False,False
drift-evt-5793,2026-05-04T13:59:00Z,CLO-003,inbound_rules,RESTRICTED,TEMPORARY_VENDOR_ALLOWED,admin_002,scheduled_task,approved,staging,True,LOW,False,False
drift-evt-25fb,2026-04-21T14:10:00Z,END-050,mfa_enforced,True,True,admin_002,automation,approved,production,False,INFO,False,False
drift-evt-3185,2026-05-02T20:32:00Z,NET-029,agent_status,running,weakened_state,admin_002,manual,pending,production,False,HIGH,True,False
drift-evt-0ad0,2026-04-27T20:03:00Z,IDE-063,inbound_rules,RESTRICTED,TEMPORARY_VENDOR_ALLOWED,ci_cd_pipeline,scheduled_task,approved,production,False,LOW,False,False
drift-evt-87ab,2026-04-26T09:38:00Z,NET-022,encryption_strength,AES-256,modified_config_param,admin_002,manual,pending,production,False,MEDIUM,True,False
drift-evt-2713,2026-05-02T07:25:00Z,CLO-004,agent_status,running,running,admin_002,automation,approved,production,False,INFO,False,False
drift-evt-6294,2026-04-09T05:37:00Z,CLO-011,logging_enabled,True,weakened_state,admin_002,manual,pending,production,False,HIGH,True,False
drift-evt-2f42,2026-04-29T00:18:00Z,NET-024,agent_status,running,restarting,ci_cd_pipeline,scheduled_task,approved,staging,False,LOW,False,False
drift-evt-21f8,2026-04-28T16:40:00Z,END-042,encryption_strength,AES-256,AES-256,admin_001,scheduled_task,approved,staging,False,LOW,False,False
drift-evt-751a,2026-04-27T04:28:00Z,NET-033,inbound_rules,RESTRICTED,expired_state,ci_cd_pipeline,manual,expired,staging,False,MEDIUM,True,False
drift-evt-4c43,2026-05-02T13:12:00Z,CLO-007,encryption_strength,AES-256,False,admin_001,manual,pending,production,False,CRITICAL,True,False
drift-evt-4d3a,2026-04-11T02:57:00Z,CLO-006,logging_enabled,True,True,ci_cd_pipeline,ci_cd,approved,production,True,LOW,False,False
drift-evt-3e65,2026-04-14T22:27:00Z,NET-031,logging_enabled,True,expired_state,autoscaler_bot,manual,expired,development,False,HIGH,True,False
drift-evt-1250,2026-04-13T04:57:00Z,NET-028,inbound_rules,RESTRICTED,False,admin_002,manual,pending,staging,False,CRITICAL,True,False
drift-evt-559a,2026-04-24T18:56:00Z,NET-022,encryption_strength,AES-256,modified_config_param,ci_cd_pipeline,manual,pending,production,False,MEDIUM,True,False
drift-evt-fe05,2026-04-15T10:53:00Z,END-040,mfa_enforced,True,expired_state,ci_cd_pipeline,manual,expired,production,False,HIGH,True,False
drift-evt-9b88,2026-04-22T04:45:00Z,END-049,agent_status,running,weakened_state,admin_002,manual,pending,production,False,HIGH,True,False
drift-evt-2f13,2026-04-17T00:38:00Z,CLO-010,mfa_enforced,True,True,autoscaler_bot,automation,approved,production,False,INFO,False,False
drift-evt-d5a4,2026-04-21T17:25:00Z,CLO-016,logging_enabled,True,True,ci_cd_pipeline,scheduled_task,approved,production,False,LOW,False,False
drift-evt-91cf,2026-04-11T03:20:00Z,IDE-065,mfa_enforced,True,modified_config_param,admin_001,manual,pending,development,False,MEDIUM,True,False
drift-evt-7ee1,2026-04-27T02:49:00Z,IDE-063,inbound_rules,RESTRICTED,TEMPORARY_VENDOR_ALLOWED,ci_cd_pipeline,scheduled_task,approved,production,False,LOW,False,False
drift-evt-12bd,2026-04-28T22:10:00Z,CLO-020,mfa_enforced,True,modified_config_param,admin_002,manual,pending,staging,False,MEDIUM,True,False
drift-evt-039a,2026-05-01T17:54:00Z,NET-035,mfa_enforced,True,True,admin_002,scheduled_task,approved,staging,False,LOW,False,False
drift-evt-3b01,2026-05-04T23:09:00Z,NET-035,mfa_enforced,True,expired_state,admin_001,manual,expired,staging,False,HIGH,True,False
drift-evt-bd91,2026-04-11T22:40:00Z,END-036,logging_enabled,True,expired_state,admin_002,manual,expired,production,False,HIGH,True,False
drift-evt-f544,2026-04-29T03:36:00Z,END-049,agent_status,running,restarting,admin_001,ci_cd,approved,production,False,LOW,False,False
drift-evt-fab3,2026-04-16T06:38:00Z,IDE-063,inbound_rules,RESTRICTED,expired_state,autoscaler_bot,manual,expired,production,False,MEDIUM,True,False
drift-evt-7b53,2026-04-19T18:12:00Z,END-044,agent_status,running,restarting,admin_001,scheduled_task,approved,production,True,LOW,False,False
drift-evt-2cc0,2026-04-16T16:42:00Z,CLO-011,logging_enabled,True,False,autoscaler_bot,manual,pending,production,False,CRITICAL,True,False
drift-evt-3a52,2026-04-30T05:40:00Z,NET-031,logging_enabled,True,modified_config_param,admin_002,manual,pending,development,False,MEDIUM,True,False
drift-evt-ac15,2026-04-30T08:07:00Z,IDE-058,inbound_rules,RESTRICTED,PORT_8080_OPENED_ANYWHERE,ci_cd_pipeline,manual,pending,production,False,MEDIUM,True,False
drift-evt-f54a,2026-04-18T02:03:00Z,IDE-052,encryption_strength,AES-256,AES-256,autoscaler_bot,scheduled_task,approved,staging,False,LOW,False,False
drift-evt-f947,2026-05-02T03:55:00Z,END-045,mfa_enforced,True,False,admin_002,manual,pending,production,False,CRITICAL,True,False
drift-evt-de20,2026-05-03T01:11:00Z,END-043,inbound_rules,RESTRICTED,RESTRICTED,admin_001,automation,approved,production,False,INFO,False,False
drift-evt-c48f,2026-04-20T07:55:00Z,END-040,mfa_enforced,True,modified_config_param,admin_001,manual,pending,production,False,MEDIUM,True,False
drift-evt-ae7b,2026-04-16T18:22:00Z,END-041,logging_enabled,True,True,ci_cd_pipeline,ci_cd,approved,staging,True,LOW,False,False
drift-evt-4166,2026-04-30T00:53:00Z,END-036,logging_enabled,True,True,admin_001,ci_cd,approved,production,True,LOW,False,False
drift-evt-7fda,2026-04-24T10:11:00Z,NET-023,inbound_rules,RESTRICTED,TEMPORARY_VENDOR_ALLOWED,admin_001,ci_cd,approved,development,True,LOW,False,False
drift-evt-58ad,2026-04-10T11:34:00Z,END-038,inbound_rules,RESTRICTED,TEMPORARY_VENDOR_ALLOWED,autoscaler_bot,scheduled_task,approved,production,True,LOW,False,False
drift-evt-df43,2026-05-04T03:02:00Z,END-037,encryption_strength,AES-256,AES-256,admin_002,automation,approved,development,False,INFO,False,False
drift-evt-ebc4,2026-04-23T12:09:00Z,NET-024,agent_status,running,stopped,ci_cd_pipeline,manual,pending,staging,False,CRITICAL,True,False
drift-evt-2fb7,2026-04-29T17:49:00Z,CLO-015,mfa_enforced,True,True,ci_cd_pipeline,scheduled_task,approved,production,False,LOW,False,False
drift-evt-efe5,2026-04-10T10:34:00Z,CLO-020,mfa_enforced,True,True,autoscaler_bot,scheduled_task,approved,staging,True,LOW,False,False
drift-evt-e6d5,2026-04-13T09:23:00Z,IDE-054,agent_status,running,running,autoscaler_bot,automation,approved,staging,False,INFO,False,False
drift-evt-9e19,2026-04-25T07:29:00Z,IDE-058,inbound_rules,RESTRICTED,expired_state,admin_002,manual,expired,production,False,MEDIUM,True,False
drift-evt-7d97,2026-05-04T18:50:00Z,IDE-055,mfa_enforced,True,True,admin_001,ci_cd,approved,production,True,LOW,False,False
